Optimal Path Found. Time elapsed is 12.544470 seconds. 
Node ID: 1066620700 	 Lat: 41.316548  | Long: 2.048622  | Distance: 14555.896717 
 
Node ID: 1066620698 	 Lat: 41.314106  | Long: 2.041439  | Distance: 15214.374478 
 
Node ID: 1066620696 	 Lat: 41.312494  | Long: 2.036911  | Distance: 15632.836010 
 
Node ID: 1066620695 	 Lat: 41.311144  | Long: 2.032931  | Distance: 15997.600672 
 
Node ID: 1066620694 	 Lat: 41.309279  | Long: 2.027491  | Distance: 16497.046970 
 
Node ID: 1066620692 	 Lat: 41.308630  | Long: 2.025614  | Distance: 16669.664366 
 
Node ID: 1066620691 	 Lat: 41.307417  | Long: 2.022058  | Distance: 16995.855476 
 
Node ID: 1324546086 	 Lat: 41.305447  | Long: 2.016386  | Distance: 17517.814645 
 
Node ID: 1324546035 	 Lat: 41.305235  | Long: 2.015887  | Distance: 17565.765827 
 
Node ID: 1324546060 	 Lat: 41.304888  | Long: 2.014867  | Distance: 17659.220186 
 
Node ID: 1324546045 	 Lat: 41.304648  | Long: 2.014168  | Distance: 17723.457794 
 
Node ID: 1324546074 	 Lat: 41.304302  | Long: 2.013253  | Distance: 17809.043147 
 
Node ID: 1324546076 	 Lat: 41.303875  | Long: 2.012212  | Distance: 17908.106401 
 
Node ID: 1324546048 	 Lat: 41.303604  | Long: 2.011600  | Distance: 17967.465254 
 
Node ID: 1324546044 	 Lat: 41.303208  | Long: 2.010814  | Distance: 18046.460795 
 
Node ID: 1324546073 	 Lat: 41.302823  | Long: 2.010098  | Distance: 18120.013024 
 
Node ID: 1324546047 	 Lat: 41.302573  | Long: 2.009664  | Distance: 18165.717253 
 
Node ID: 1324546051 	 Lat: 41.302249  | Long: 2.009121  | Distance: 18223.669768 
 
Node ID: 1324546041 	 Lat: 41.301840  | Long: 2.008443  | Distance: 18296.270827 
 
Node ID: 1066620686 	 Lat: 41.301508  | Long: 2.007893  | Distance: 18355.217730 
 
Node ID: 1066620685 	 Lat: 41.299781  | Long: 2.005717  | Distance: 18619.660138 
 
Node ID: 1066620683 	 Lat: 41.296835  | Long: 2.002010  | Distance: 19070.444702 
 
Node ID: 1066620681 	 Lat: 41.295787  | Long: 2.000675  | Distance: 19231.770790 
 
Node ID: 1066620680 	 Lat: 41.295525  | Long: 2.000337  | Distance: 19272.342717 
 
Node ID: 1066620904 	 Lat: 41.294207  | Long: 1.998797  | Distance: 19467.335797 
 
Node ID: 1066620901 	 Lat: 41.291514  | Long: 1.995391  | Distance: 19880.398771 
 
Node ID: 1066620894 	 Lat: 41.290132  | Long: 1.993631  | Distance: 20093.100552 
 
Node ID: 1066620878 	 Lat: 41.289955  | Long: 1.993395  | Distance: 20120.983572 
 
Node ID: 1066620875 	 Lat: 41.288669  | Long: 1.991839  | Distance: 20314.209717 
 
Node ID: 1066620872 	 Lat: 41.283719  | Long: 1.985644  | Distance: 21069.831730 
 
Node ID: 1066620868 	 Lat: 41.281780  | Long: 1.983181  | Distance: 21367.855512 
 
Node ID: 213850148 	 Lat: 41.281074  | Long: 1.982315  | Distance: 21474.636783 
 
Node ID: 213850146 	 Lat: 41.279887  | Long: 1.980925  | Distance: 21650.465643 
 
Node ID: 213850144 	 Lat: 41.278281  | Long: 1.978968  | Distance: 21892.612374 
 
Node ID: 46920795 	 Lat: 41.276927  | Long: 1.977049  | Distance: 22112.515910 
 
Node ID: 970923304 	 Lat: 41.274650  | Long: 1.974227  | Distance: 22458.583527 
 
Node ID: 970923345 	 Lat: 41.274480  | Long: 1.974014  | Distance: 22484.551838 
 
Node ID: 206963838 	 Lat: 41.273229  | Long: 1.972386  | Distance: 22679.069955 
 
Node ID: 209145840 	 Lat: 41.271784  | Long: 1.970661  | Distance: 22894.950455 
 
Node ID: 46920784 	 Lat: 41.270560  | Long: 1.969127  | Distance: 23081.913055 
 
Node ID: 209145274 	 Lat: 41.270101  | Long: 1.968489  | Distance: 23155.762226 
 
Node ID: 206963837 	 Lat: 41.269470  | Long: 1.967419  | Distance: 23269.407587 
 
Node ID: 206963836 	 Lat: 41.268631  | Long: 1.965677  | Distance: 23442.326777 
 
Node ID: 46920757 	 Lat: 41.268141  | Long: 1.964269  | Distance: 23571.996456 
 
Node ID: 209178380 	 Lat: 41.267972  | Long: 1.963691  | Distance: 23623.838771 
 
Node ID: 206963835 	 Lat: 41.267818  | Long: 1.963085  | Distance: 23677.310249 
 
Node ID: 206963834 	 Lat: 41.267638  | Long: 1.962132  | Distance: 23759.439243 
 
Node ID: 206963833 	 Lat: 41.267438  | Long: 1.960484  | Distance: 23898.951874 
 
